"STATION","NAME","DATE","AWND","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USC00049219","VALLEJO, CA US","2023-03-01",,,,"0.08",,,,"57","31","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-02",,,,"0.00",,,,"62","38","59",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-03",,,,"0.00",,,,"61","40","58",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-04",,,,"0.11",,,,"58","41","50",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-05",,,,"0.25",,,,"55","40","52",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-06",,,,"0.15",,,,"52","38","44",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-08",,,,"0.28",,,,"58","41","55",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-09",,,,"0.33",,,,"55","40","47",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-10",,,,"1.31",,,,"59","46","58",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-11",,,,"0.31",,,,"58","44","53",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-12",,,,"0.16",,,,"68","52","55",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-13",,,,"0.08",,,,"66","52","61",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-14",,,,"0.67",,,,"63","52","53",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-15",,,,"0.02",,,,"63","39","62",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-16",,,,"0.00",,,,"65","43","63",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-17",,,,"0.00",,,,"68","41","66",,,,,,,,
